t,x,y
3.046322222,123.7954568,187.4133272
3.080166667,123.525328,182.1016218
3.114022222,123.5995674,180.0703305
3.147866667,123.6622267,181.2958165
3.181711111,123.9948765,186.0975943
3.215566667,124.2678627,193.261454
3.249411111,125.3871227,206.9813185
3.283255556,125.5488695,206.9709035
3.317111111,125.9072642,210.4847112
3.350955556,126.0180308,210.6084346
3.3848,126.2656507,206.9084258
3.418655556,126.7867257,193.0113498
3.4525,126.7665517,185.9255639
3.486344444,126.6730247,185.8249108
3.5202,126.5480667,180.1074133
3.554044444,126.5619149,182.3477732
3.587888889,126.572376,187.8450445
3.621744444,126.4302469,195.2648754
3.655588889,126.0063224,202.5666081
3.689433333,125.76529,208.2241897
3.723277778,125.624651,211.2030444
3.757133333,125.6659079,211.3896084
3.790977778,125.0123963,205.5488839
3.824822222,125.0096305,205.4941537
3.858677778,124.0766022,191.3512935
3.892522222,123.7145085,184.5903273
3.926366667,123.5943634,180.947811
3.960222222,123.5822249,180.7483319
3.994066667,123.5902083,183.7574794
4.027911111,124.0253345,189.988081
4.061766667,124.5007228,197.476783
4.095611111,125.0130704,204.512659
4.129455556,125.3539759,209.5233649
4.163311111,125.6118491,211.5896009
4.197155556,125.6598552,211.5551001
4.231,126.2633904,204.1536368
4.264855556,126.597184,197.0242155
4.2987,126.663757,189.5131468
4.332544444,126.6390081,183.4271834
4.3664,126.6860595,180.5945423
4.400244444,126.6489198,180.9070264
4.434088889,126.6232297,184.8283117
4.467944444,126.5684905,191.4722321
4.501788889,126.4191382,199.1081023
4.535633333,126.1245815,205.67144
4.569488889,125.867194,210.0423615
4.603333333,125.7027345,210.9329533
4.637177778,125.2223721,207.9527784
4.671033333,124.8343324,202.2033137
4.704877778,124.326736,194.8087194
4.738722222,124.117021,187.5959245
4.772577778,123.6955604,182.148952
4.806422222,123.5811992,180.0965427
4.840266667,123.5569256,181.4170079
4.874122222,123.8218062,186.1658644
4.907966667,124.1901809,193.385692
4.941811111,124.7378886,200.9713558
4.975666667,125.063616,206.9785923
5.009511111,125.5341303,210.5307172
5.043355556,125.8653563,210.5806987
5.077211111,126.1753484,206.8522847
5.111055556,126.5119668,200.7061146
5.1449,126.6059012,192.999129
5.178755556,126.6815608,186.0531199
5.2126,126.7652235,181.5089901
5.246444444,126.782978,180.5510471
5.2803,126.7928748,182.5366972
5.314144444,126.7015672,187.8745526
5.347988889,126.5637724,195.2560911
5.381844444,126.4780108,202.5883577
5.415688889,126.3792529,208.2317372
5.483377778,125.7917897,209.9204563
5.517233333,125.4987693,205.5132042
5.551077778,125.0958091,198.6868628
5.584922222,124.7651067,191.188717
5.618777778,124.314821,184.553979
5.652622222,124.1162662,180.9050669
5.686466667,124.1562079,180.7086287
5.720322222,124.2294314,183.7013523
5.754166667,124.4534748,189.7010898
5.788011111,124.8810953,197.2465479
5.821866667,125.080984,204.1209393
5.855711111,125.6328602,209.1896415
5.923411111,126.1409093,209.0387621
5.957255556,126.3653806,203.8902669
5.9911,126.5304649,196.8487618
6.024955556,126.6281333,189.3746325
6.0588,126.7270038,183.3548958
6.092644444,126.8533942,180.493625
6.1265,126.75856,180.8260658
6.160344444,126.8374841,184.8194754
6.194188889,126.8186256,191.3887309
6.228044444,126.7023201,198.9214125
6.261888889,126.5496754,205.4891493
6.295733333,126.3796529,209.9138012
6.329588889,126.0831259,210.8223588
6.363433333,125.8039503,207.8168048
6.397277778,125.6866563,202.1029005
6.431133333,125.2370424,194.6572775
6.464977778,124.9014234,187.5458693
6.498822222,124.4527099,182.1813139
6.532677778,124.3236337,180.3815885
6.566522222,124.2859922,181.6149194
6.600366667,124.4404346,186.3097118
6.634222222,124.7563519,193.3281497
6.668066667,125.035685,200.8718736
6.701911111,125.2758934,206.8901879
6.735766667,125.6670491,210.4999947
6.769611111,125.9118472,206.7477689
6.803455556,126.0269859,200.4534478
6.837311111,126.2805912,193.0770751
6.871155556,126.5023483,186.0814983
6.905,126.5408513,181.5432191
6.938855556,126.5709609,180.5573049
6.9727,126.5680917,180.3889324
7.006544444,126.996531,187.8976231
7.0404,127.1540553,195.2580335
7.074244444,127.1530027,202.5490862
7.108088889,126.9703458,208.1628848
7.141944444,126.7986123,210.9434784
7.175788889,126.6123791,209.8284738
7.209633333,126.4606633,205.438168
7.243488889,126.1702679,198.782505
7.277333333,125.8612174,191.1185128
7.311177778,125.59703,184.6766584
7.345022222,125.3335065,180.8648
7.378877778,125.1077901,180.5717519
7.412722222,125.1009508,183.4221195
7.446566667,125.2368195,189.5133306
7.480422222,125.501722,196.9259482
7.514266667,125.606232,196.9309343
7.548111111,126.0131044,208.8786992
7.581966667,126.079003,210.9534348
7.615811111,126.0965104,208.8759557
7.649655556,126.1310408,203.8299866
7.683511111,126.3044663,196.80391
7.717355556,126.4671755,189.3923449
7.7512,126.4978187,183.4025712
7.785055556,126.5840183,180.5698627
7.8189,126.5803113,180.8374761
7.852744444,126.8147659,184.7122222
7.8866,127.0666413,191.3611917
7.920444444,127.1381614,198.8667273
7.954288889,127.2114746,205.4428292
7.988144444,127.1986162,209.7024023
8.021988889,127.2078602,210.7881028
8.055833333,127.0653306,207.9029678
8.089688889,126.7317556,202.1992488
8.123533333,126.5034982,194.9032022
8.157377778,126.2696765,187.6815012
8.191233333,126.0939606,182.3116496
8.225077778,125.8518785,180.4741961
8.258922222,125.7703845,181.6342544
8.292777778,125.7799041,186.329651
8.326622222,125.8805773,193.1878362
8.360466667,125.9997642,200.5804344
8.394322222,126.0248966,206.7743082
8.428166667,126.1178925,210.4001321
8.462011111,126.0289745,210.5302939
8.495866667,125.999569,206.7790892
8.529711111,126.0525478,200.581731
8.563555556,125.9901093,193.1405883
8.597411111,125.908592,186.178598
8.631255556,125.9034179,181.6958345
8.6651,125.991615,180.7136979
8.698955556,126.3028958,182.625908
8.7328,126.5421697,187.9330584
8.766644444,126.6616467,195.2080576
8.8005,126.7342662,202.4330101
8.834344444,126.9564083,208.0028332
8.868188889,127.0983115,210.8816385
8.902044444,127.1545825,209.7249937
8.935888889,127.0374104,205.4061814
8.969733333,126.8557491,198.6493627
9.003588889,126.6177774,191.0836709
9.037433333,126.4870584,184.7086418
9.071277778,126.3219027,180.9764465
9.105133333,126.1659364,180.6983184
9.138977778,126.2199186,183.6437748
9.172822222,126.3994392,189.6099771
9.206666667,126.5032567,196.9250811
9.240522222,126.509749,203.8498724
9.274366667,126.4851689,208.8240528
9.308211111,126.5497141,210.6698376
9.342066667,126.5004405,208.607722
9.375911111,126.5100517,203.599087
9.409755556,126.4821731,196.6923123
9.443611111,126.3876197,189.3563784
9.477455556,126.43272,183.3489783
9.5113,126.441753,180.4827104
9.545155556,126.5689899,180.7923393
9.579,126.7122626,184.6936265
9.612844444,126.9342658,191.2043995
9.6467,127.280986,198.5654395
9.680544444,127.4067832,205.063487
9.714388889,127.5434261,209.4395682
9.748244444,127.4966735,210.3568297
9.782088889,127.414101,207.5291051
9.815933333,127.3896408,201.8912947
9.849788889,127.3566502,194.6188329
9.883633333,127.0500463,182.1195355
9.917477778,127.1399081,181.9616589
9.951333333,126.9567109,180.0939736
9.985177778,126.8420001,181.2008881
10.01902222,126.7634088,185.7629108
10.05287778,126.7021133,192.6635446
10.08672222,126.6080916,200.0756394
10.12056667,126.5564106,206.1783435
10.15442222,126.6021863,209.7937547
10.18826667,126.5854916,209.850982
10.22211111,126.4550016,206.2288839
10.25596667,126.099508,192.5098151
10.28981111,125.9937999,192.4952943
10.32365556,125.8518663,181.0864388
10.35751111,125.891113,179.9958914
10.39135556,125.9933357,182.0358951
10.4252,126.3358001,187.3442083
10.45905556,126.4163762,187.2755441
10.4929,126.6412161,194.4851772
10.52674444,127.2627639,207.2116855
10.5606,127.3986879,210.0269986
10.59444444,127.4454499,208.978903
10.62828889,127.484207,204.675695
10.66214444,127.4774992,198.072114
10.69598889,127.4416736,190.6385263
10.72983333,127.3034766,184.179984
10.76368889,127.2010555,180.4534785
10.79753333,127.2202709,180.061328
10.83137778,127.2240946,183.0840711
10.86523333,127.2054316,189.0316216
10.89907778,127.1219548,196.4954716
10.93292222,127.1238871,203.336249
10.96676667,127.0940516,208.3587186
11.00062222,127.0014283,210.3428756
11.03446667,126.7498986,208.2827672
11.06831111,126.5275404,203.3479976
11.10216667,126.3785078,196.3425545
11.13601111,126.2195017,188.8605853
11.16985556,126.1671079,183.0611095
11.20371111,126.2536318,180.2431329
11.23755556,126.3348536,180.593896
11.2714,126.5304583,184.3316143
11.30525556,126.8557072,190.7178773
11.3391,127.2063366,198.1392376
11.37294444,127.3780317,204.6473469
11.4068,127.7042868,208.996627
11.44064444,128.0321167,210.0130404
11.47448889,128.0865144,207.1547939
11.50834444,128.1924682,201.606879
11.54218889,128.1727419,194.4334995
11.57603333,128.1004141,187.2467945
11.60988889,128.0548578,181.9251813
11.64373333,128.0363022,179.9752076
11.67757778,127.9790574,181.1735222
11.71143333,127.981838,185.6777421
11.74527778,127.9437264,192.6134108
11.77912222,127.8395733,200.0023072
11.81297778,127.7064765,206.0496192
11.84682222,127.5641972,209.6050071
11.88066667,127.3037433,209.4224251
11.91452222,127.092793,206.0087816
11.94836667,126.7737228,199.8239428
11.98221111,126.5159745,192.4642443
12.01606667,126.394607,185.6349903
12.04991111,126.1948073,181.0998431
12.08375556,126.3006128,179.9190809
12.11761111,126.4627171,181.9390779
12.15145556,126.65911,187.2509225
12.1853,126.9896742,194.4956987
12.21915556,127.3348522,201.5908666
12.253,127.7813548,207.0973032
12.28684444,128.1319449,209.9424263
12.3207,128.2233616,208.8836106
12.35454444,128.2507762,204.6691031
12.38838889,128.3710676,198.105772
12.42224444,128.304094,190.7595386
12.45608889,128.2979545,184.2739934
12.48993333,128.2343545,180.5118238
12.52378889,128.1401488,180.1051362
12.55763333,128.0848343,183.115907
12.59147778,128.0689365,188.9574035
12.62533333,128.0054095,196.2439865
12.65917778,127.9189036,203.1525269
12.69302222,127.6795662,208.1396105
12.72687778,127.558284,210.185217
12.76072222,127.271715,208.2238187
12.79456667,127.0233275,203.3230311
12.82841111,126.6689138,196.3983778
12.86226667,126.4045604,188.9804454
12.89611111,126.2192613,183.1405774
